,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3K3R2QNK8CPGP3BH0870VXJU5KZU97,A2LCWWEBLDW3H6,3NQUW096N6UBKTQT1SAYGQRVZUPL9X,Submitted,2022-05-22 04:53:18+03:00,solve_game_test_578,"['fiber.jpg', 'jungle.jpg', 'buttons.jpg', 'woman.jpg', 'shirt.jpg']","{'woman.jpg', 'shirt.jpg'}","{'woman.jpg', 'shirt.jpg'}",1.0
1,37W3JXSD67U8I88U3KEHC2XIZ9VYWZ,A2LCWWEBLDW3H6,3I7KR83SNAZ00N8BGSYX1QEGAUK9KI,Submitted,2022-05-22 04:52:32+03:00,solve_game_test_2206,"['tobacco.jpg', 'pharaoh.jpg', 'mason.jpg', 'crowd.jpg', 'brown.jpg']","{'crowd.jpg', 'mason.jpg'}","{'crowd.jpg', 'mason.jpg'}",1.0
2,3R3YRB5GRGPUUMLMSEL0RSUEB2HUAM,A2LCWWEBLDW3H6,3K1H3NEY7LL71RP92HIKPU5DUYIDG0,Submitted,2022-05-22 04:54:09+03:00,solve_game_test_1315,"['sea.jpg', 'lobster.jpg', 'committee.jpg', 'splinter.jpg', 'red.jpg']","{'lobster.jpg', 'splinter.jpg'}","{'lobster.jpg', 'splinter.jpg'}",1.0
3,3C6FJU71TRFVQ4JP8KZGUECLETKYU0,A2LCWWEBLDW3H6,37SOB9Z0SSJP5R1DKJ9OPDO9Z2FL3G,Submitted,2022-05-22 04:52:15+03:00,solve_game_test_633,"['theater.jpg', 'shelf.jpg', 'concert.jpg', 'school.jpg', 'music.jpg', 'mat.jpg']","{'concert.jpg', 'music.jpg'}","{'theater.jpg', 'concert.jpg'}",0.3333333333333333
4,3T111IHZ5FCO9BJ0WECVQMWAYLVR90,A2LCWWEBLDW3H6,3PEG1BH7AEDJOGN8ECCTSW96YUNBKU,Submitted,2022-05-22 04:53:40+03:00,solve_game_test_1656,"['recipe.jpg', 'ramp.jpg', 'dinner.jpg', 'wreck.jpg', 'car.jpg', 'trucks.jpg']","{'recipe.jpg', 'dinner.jpg'}","{'recipe.jpg', 'dinner.jpg'}",1.0
5,3IAEQB9FMF65KXD37OR3ZHNHHLPWDP,A2LCWWEBLDW3H6,3J94SKDEKIB9LU0PLLZTLXEO4P4D5I,Submitted,2022-05-22 04:54:37+03:00,solve_game_test_553,"['oasis.jpg', 'face.jpg', 'lion.jpg', 'cut.jpg', 'slipper.jpg', 'wound.jpg']","{'face.jpg', 'oasis.jpg'}","{'face.jpg', 'oasis.jpg'}",1.0
6,3DEL4X4EL77N78DKDPA3ELBP8B1YXS,A2LCWWEBLDW3H6,3SNR5F7R92FQPO94O0T7GO0E9NBIEQ,Submitted,2022-05-22 04:53:12+03:00,solve_game_test_1026,"['trunk.jpg', 'teddy.jpg', 'water.jpg', 'dew.jpg', 'wet.jpg']","{'wet.jpg', 'water.jpg', 'dew.jpg'}","{'wet.jpg', 'water.jpg', 'dew.jpg'}",1.0
7,3WAKVUDHUX2CBKNOLB9GH1SOAUBU7V,A2LCWWEBLDW3H6,32CXT5U14GPEPEUD5EWL7HS3SF08UP,Submitted,2022-05-22 04:52:24+03:00,solve_game_test_548,"['money.jpg', 'ballet.jpg', 'whale.jpg', 'court.jpg', 'blanket.jpg']","{'court.jpg', 'money.jpg'}","{'court.jpg', 'money.jpg'}",1.0
8,31N2WW6R9SC5RJPBOABRIKF5V5B3F1,A2LCWWEBLDW3H6,368IUKXGA5UETV3TVD0TDX9DE3I6P5,Submitted,2022-05-22 04:51:44+03:00,solve_game_test_1244,"['click.jpg', 'door.jpg', 'animal.jpg', 'perspiration.jpg', 'playstation.jpg', 'cat.jpg']","{'animal.jpg', 'cat.jpg'}","{'perspiration.jpg', 'door.jpg'}",0.0
9,3018Q3ZVOJC2EUT5OKQVMH7U43DRAF,A2LCWWEBLDW3H6,3PCPFX4U40CVC0XJWJIM78C0CY7FQ8,Submitted,2022-05-22 04:54:24+03:00,solve_game_test_1803,"['hip.jpg', 'slap.jpg', 'bulb.jpg', 'jam.jpg', 'poet.jpg', 'door.jpg']","{'bulb.jpg', 'hip.jpg'}","{'bulb.jpg', 'hip.jpg'}",1.0
10,30IQTZXKALSQADHZ5HZUMTH5WYN0XU,A2LCWWEBLDW3H6,3IV1AEQ4DRZ5BYJJTFS70FJSBZ28JT,Submitted,2022-05-22 04:53:26+03:00,solve_game_test_1468,"['chick.jpg', 'ankle.jpg', 'hot.jpg', 'coop.jpg', 'jogger.jpg', 'nose.jpg']","{'ankle.jpg', 'jogger.jpg'}","{'ankle.jpg', 'jogger.jpg'}",1.0
11,3GA6AFUKOPAP5FGHJ0ZRL5RIBKO3HZ,A2LCWWEBLDW3H6,37VUR2VJ6AB0SKTSK226Y1JP79N1CO,Submitted,2022-05-22 04:54:00+03:00,solve_game_test_2253,"['apartment.jpg', 'jester.jpg', 'limo.jpg', 'tablespoon.jpg', 'peanut butter.jpg', 'sheep.jpg']","{'peanut butter.jpg', 'limo.jpg', 'apartment.jpg'}","{'peanut butter.jpg', 'limo.jpg', 'apartment.jpg'}",1.0
12,3YWRV122CTLGBYS7VG1MV1OJLEHU8I,A2LCWWEBLDW3H6,3BDORL6HKKZOLPS9IWHL4S12B7HCRV,Submitted,2022-05-22 04:52:42+03:00,solve_game_test_1158,"['salad.jpg', 'penicillin.jpg', 'green.jpg', 'net.jpg', 'mansion.jpg']","{'penicillin.jpg', 'mansion.jpg'}","{'penicillin.jpg', 'mansion.jpg'}",1.0
