,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,selected_images_q1,selected_images_q2,score_fooling_ai_1,score_fooling_ai_2,cue1,cue2,candidates
0,37XITHEISXVQ79Q38YMLFGZX7OXRC8,A1HKYY6XI2OHO1,367O8HRHKGUXR0F746B6X8WDH534SA,Submitted,2022-05-23 05:15:09+03:00,random_10_12_candidates_218,"['tea.jpg', 'heroin.jpg']","['tea.jpg', 'marshmallow.jpg']",67,67,chemicals,sugar,"['tea.jpg', 'marshmallow.jpg', 'pile.jpg', 'splinter.jpg', 'relic.jpg', 'rose.jpg', 'product.jpg', 'heater.jpg', 'hanger.jpg', 'children.jpg', 'furniture.jpg', 'heroin.jpg']"
1,3HFNH7HEMI03CKR8X5T40HA79YPGQG,A16184N1RO5OJV,367O8HRHKGUXR0F746B6X8WDH534SA,Submitted,2022-05-23 20:57:31+03:00,random_10_12_candidates_218,"['relic.jpg', 'rose.jpg', 'furniture.jpg']","['splinter.jpg', 'rose.jpg']",50,67,decoration,thorn,"['tea.jpg', 'marshmallow.jpg', 'pile.jpg', 'splinter.jpg', 'relic.jpg', 'rose.jpg', 'product.jpg', 'heater.jpg', 'hanger.jpg', 'children.jpg', 'furniture.jpg', 'heroin.jpg']"
2,3YJ6NA41JC2S3AGU5YZIXPCDWWOPJA,A2QX3YJXAAHHVV,367O8HRHKGUXR0F746B6X8WDH534SA,Submitted,2022-05-23 23:44:00+03:00,random_10_12_candidates_218,"['hanger.jpg', 'children.jpg']","['tea.jpg', 'marshmallow.jpg', 'heroin.jpg']",67,100,pregnancy,dissolve,"['tea.jpg', 'marshmallow.jpg', 'pile.jpg', 'splinter.jpg', 'relic.jpg', 'rose.jpg', 'product.jpg', 'heater.jpg', 'hanger.jpg', 'children.jpg', 'furniture.jpg', 'heroin.jpg']"
3,3VELCLL3GL59HGBW16X7HV2N03WF1C,A1HKYY6XI2OHO1,3ECKRY5B1QIO0J00KN7IN23Z923ZIO,Submitted,2022-05-23 05:19:54+03:00,random_10_12_candidates_399,"['column.jpg', 'porch.jpg']","['dancing.jpg', 'asylum.jpg']",67,100,zillow,meatsacks,"['bread.jpg', 'dancing.jpg', 'pad.jpg', 'soap.jpg', 'column.jpg', 'cabinet.jpg', 'porch.jpg', 'asylum.jpg', 'dip.jpg', 'pod.jpg']"
4,3OE22WJIGJAMH2S3HAIL4WBYI8DQU3,A2QX3YJXAAHHVV,3ECKRY5B1QIO0J00KN7IN23Z923ZIO,Submitted,2022-05-24 00:21:11+03:00,random_10_12_candidates_399,"['dancing.jpg', 'asylum.jpg']","['dancing.jpg', 'asylum.jpg']",100,100,lines,lined,"['bread.jpg', 'dancing.jpg', 'pad.jpg', 'soap.jpg', 'column.jpg', 'cabinet.jpg', 'porch.jpg', 'asylum.jpg', 'dip.jpg', 'pod.jpg']"
5,3E4GGUZ1T9DRMNL6LLOI2R4X0BCK2X,A302KOFOYLD89A,3ECKRY5B1QIO0J00KN7IN23Z923ZIO,Submitted,2022-05-24 01:24:52+03:00,random_10_12_candidates_399,"['bread.jpg', 'dip.jpg']","['dancing.jpg', 'asylum.jpg']",0,100,savory,control,"['bread.jpg', 'dancing.jpg', 'pad.jpg', 'soap.jpg', 'column.jpg', 'cabinet.jpg', 'porch.jpg', 'asylum.jpg', 'dip.jpg', 'pod.jpg']"
6,3KAKFY4PGVOP1AR1PIHB8LUCEGBI39,A1HKYY6XI2OHO1,32LAQ1JNT9BXNYM18C7EKHQTI14UTB,Submitted,2022-05-23 07:15:49+03:00,random_10_12_candidates_103,"['monk.jpg', 'mermaid.jpg']","['ski.jpg', 'zoo.jpg']",0,100,solitude,above,"['whirlwind.jpg', 'monk.jpg', 'handyman.jpg', 'ski.jpg', 'zoo.jpg', 'rope.jpg', 'barn.jpg', 'mermaid.jpg', 'throat.jpg', 'saw.jpg']"
7,3WQQ9FUS6BG1FZJ1VPKQDFYAZGGB8Q,A377LTGWJKY2IW,32LAQ1JNT9BXNYM18C7EKHQTI14UTB,Submitted,2022-05-23 21:19:01+03:00,random_10_12_candidates_103,"['handyman.jpg', 'zoo.jpg', 'barn.jpg']","['zoo.jpg', 'rope.jpg']",80,67,multiple,capture,"['whirlwind.jpg', 'monk.jpg', 'handyman.jpg', 'ski.jpg', 'zoo.jpg', 'rope.jpg', 'barn.jpg', 'mermaid.jpg', 'throat.jpg', 'saw.jpg']"
8,3HPZF4IVNNFZ4A2PMTEFNCSUAGNYC2,A16184N1RO5OJV,32LAQ1JNT9BXNYM18C7EKHQTI14UTB,Submitted,2022-05-23 21:35:54+03:00,random_10_12_candidates_103,"['handyman.jpg', 'barn.jpg', 'saw.jpg']","['whirlwind.jpg', 'mermaid.jpg']",50,67,building,ocean,"['whirlwind.jpg', 'monk.jpg', 'handyman.jpg', 'ski.jpg', 'zoo.jpg', 'rope.jpg', 'barn.jpg', 'mermaid.jpg', 'throat.jpg', 'saw.jpg']"
9,3IHR8NYAM8N20SX92RCERNNUETM4PA,A2QX3YJXAAHHVV,3E22YV8GG1SM0G9LUUM81CX2L2QPN9,Submitted,2022-05-23 02:09:28+03:00,random_10_12_candidates_643,"['godfather.jpg', 'reporter.jpg']","['camera.jpg', 'reporter.jpg', 'ark.jpg']",100,50,important,shoot,"['flood.jpg', 'pancreas.jpg', 'island.jpg', 'godfather.jpg', 'shower.jpg', 'camera.jpg', 'darts.jpg', 'reporter.jpg', 'blender.jpg', 'airplane.jpg', 'drool.jpg', 'ark.jpg']"
