,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,32KTQ2V7RE1XCV68R6GE4N20SYU9MS,A2LCWWEBLDW3H6,37M4O367VJ4CPO62YEYW4N1ID3LM5Y,Submitted,2022-05-21 16:16:56+03:00,solve_create_614,"['nights.jpg', 'snake.jpg', 'clone.jpg', 'frown.jpg', 'person.jpg']","{'clone.jpg', 'snake.jpg', 'frown.jpg'}","{'clone.jpg', 'snake.jpg', 'nights.jpg'}",0.5
1,3CPLWGV3MPL3UDR837VEH2R0XO49NS,A2LCWWEBLDW3H6,3FCO4VKOZ4ZT04S859PAPZA5V7PE7G,Submitted,2022-05-21 16:17:31+03:00,solve_create_287,"['noose.jpg', 'plumber.jpg', 'colon.jpg', 'origami.jpg', 'shirt.jpg', 'shrubs.jpg']","{'shirt.jpg', 'plumber.jpg'}","{'noose.jpg', 'plumber.jpg'}",0.3333333333333333
2,3BWI6RSP7HVVMOQ2VBUBDJ6LO6F7EP,A2LCWWEBLDW3H6,36GJS3V78VCK4DP1CD4VSS0QZI4JG9,Submitted,2022-05-21 16:16:22+03:00,solve_create_401,"['heroin.jpg', 'moth.jpg', 'triangle.jpg', 'papyrus.jpg', 'photo.jpg', 'wire.jpg']","{'moth.jpg', 'papyrus.jpg'}","{'moth.jpg', 'papyrus.jpg'}",1.0
3,3Q8GYXHFEQO12MS5BR9JPBSMCO7C5M,A2LCWWEBLDW3H6,3K2CEDRACBNEAQHSZAGU737WT67MTP,Submitted,2022-05-21 16:17:15+03:00,solve_create_670,"['pill.jpg', 'dungeon.jpg', 'cactus.jpg', 'businesswoman.jpg', 'cage.jpg']","{'cactus.jpg', 'pill.jpg'}","{'cactus.jpg', 'dungeon.jpg'}",0.3333333333333333
4,3YGXWBAF713J63O5XMQ9KJM8CSCC4H,A2LCWWEBLDW3H6,3HKIF5DF6YJVY1CSQ1DI3YMN3DSG9B,Submitted,2022-05-21 16:15:01+03:00,solve_create_118,"['boot.jpg', 'engineer.jpg', 'acid.jpg', 'arcade.jpg', 'twins.jpg']","{'boot.jpg', 'engineer.jpg'}","{'boot.jpg', 'engineer.jpg'}",1.0
5,3WETL7AQWUUDPMWMIYYIW8OS6BU53H,A2LCWWEBLDW3H6,3TKSOBLOHL2IVDJE8ZZ0TTQGB03BBZ,Submitted,2022-05-21 16:17:45+03:00,solve_create_92,"['committee.jpg', 'silver.jpg', 'jug.jpg', 'thesaurus.jpg', 'waitress.jpg', 'blueprint.jpg']","{'waitress.jpg', 'committee.jpg'}","{'waitress.jpg', 'committee.jpg'}",1.0
6,3JAOYWH7VJQD6DONRUFZ4ANBST49LQ,A2LCWWEBLDW3H6,38Z7YZ2SB3OFMRZ9XRO7A5PSSQOIQR,Submitted,2022-05-21 16:15:23+03:00,solve_create_756,"['sheep.jpg', 'grey.jpg', 'steroids.jpg', 'tendon.jpg', 'label.jpg', 'note.jpg']","{'steroids.jpg', 'sheep.jpg', 'tendon.jpg'}","{'steroids.jpg', 'sheep.jpg', 'tendon.jpg'}",1.0
7,39O5D9O87UEYO751X8LQAEU2YSGC3W,A2LCWWEBLDW3H6,3OCZWXS7ZOTSJ6OHY2XH4AMTDYVL5V,Submitted,2022-05-21 16:14:42+03:00,solve_create_730,"['flame.jpg', 'circle.jpg', 'punch.jpg', 'worker.jpg', 'village.jpg']","{'flame.jpg', 'circle.jpg', 'punch.jpg'}","{'flame.jpg', 'circle.jpg', 'punch.jpg'}",1.0
8,3TS1AR6UQR0NS2QYQMEHV1RL07U7F7,A2LCWWEBLDW3H6,3L4YG5VW9NE4P7FI0RHCJ92GH6RDDF,Submitted,2022-05-21 16:17:08+03:00,solve_create_0,"['march.jpg', 'warrior.jpg', 'noodle.jpg', 'net.jpg', 'nap.jpg', 'gin.jpg']","{'net.jpg', 'gin.jpg', 'nap.jpg'}","{'net.jpg', 'gin.jpg', 'nap.jpg'}",1.0
9,3OVHNO1VE7N9ESI8IBBAYLHZYNRDZU,A2LCWWEBLDW3H6,3IKDQS3DQEMBSQPQS9NCQ00BOBNICM,Submitted,2022-05-21 16:13:12+03:00,solve_create_716,"['run.jpg', 'caramel.jpg', 'ink.jpg', 'hot dog.jpg', 'quarter.jpg', 'tobacco.jpg']","{'hot dog.jpg', 'caramel.jpg'}","{'quarter.jpg', 'run.jpg'}",0.0
