,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,39KFRKBFIOH0DZZSCYN7V8KWW6KYO9,A2LCWWEBLDW3H6,3Q9SPIIRWJ8506CXXCV0LWJV3DWAW3,Submitted,2022-05-12 22:42:50+03:00,solve_create_qualification_188,"['letter.jpg', 'garden.jpg', 'green.jpg', 'olive.jpg', 'bush.jpg', 'group.jpg']","{'olive.jpg', 'group.jpg', 'garden.jpg'}","{'letter.jpg', 'group.jpg', 'olive.jpg'}",0.5
1,3GD6L00D3TJFNQ3DNT1LPHKHULX1M0,A2LCWWEBLDW3H6,3GMLHYZ0LEJT4KLVIIUF6UG5LONYU1,Submitted,2022-05-12 22:42:57+03:00,solve_create_qualification_24,"['dirty.jpg', 'ink.jpg', 'quarter.jpg', 'ram.jpg', 'dirt.jpg', 'arachnid.jpg']","{'dirty.jpg', 'quarter.jpg', 'arachnid.jpg'}","{'dirt.jpg', 'dirty.jpg', 'arachnid.jpg'}",0.5
2,3AQF3RZ55944O2CT7C9PPNRP5V16FW,A2LCWWEBLDW3H6,3BS6ERDL93T54Y03Q49YD3SO0E06D0,Submitted,2022-05-12 22:42:30+03:00,solve_create_qualification_180,"['mustache.jpg', 'cat.jpg', 'diary.jpg', 'waistband.jpg', 'nebula.jpg']","{'cat.jpg', 'nebula.jpg'}","{'cat.jpg', 'nebula.jpg'}",1.0
3,3WSELTNVR4OFU96XS9VQMW8CSNYTAG,A2LCWWEBLDW3H6,3WGCNLZJKFUAXCZ6KYXHI717S3K1DX,Submitted,2022-05-12 22:42:43+03:00,solve_create_qualification_68,"['letter.jpg', 'garden.jpg', 'green.jpg', 'olive.jpg', 'bush.jpg', 'group.jpg']","{'bush.jpg', 'green.jpg', 'garden.jpg'}","{'bush.jpg', 'green.jpg', 'garden.jpg'}",1.0
4,34S9DKFK74BIVEZGBJNUGJKR6WFYNU,A2LCWWEBLDW3H6,34R3P23QHSNKATKB3I5S2I6ZG8LWHZ,Submitted,2022-05-12 22:42:35+03:00,solve_create_qualification_158,"['letter.jpg', 'garden.jpg', 'green.jpg', 'olive.jpg', 'bush.jpg', 'group.jpg']","{'olive.jpg', 'garden.jpg'}","{'olive.jpg', 'garden.jpg'}",1.0
5,3X31TUMD7Y8VH8LSNH06P45SUG71LY,A2LCWWEBLDW3H6,33J5JKFMK6K0WOHQCOHK6ZN392N3QW,Submitted,2022-05-12 22:42:09+03:00,solve_create_qualification_240,"['mustache.jpg', 'cat.jpg', 'diary.jpg', 'waistband.jpg', 'nebula.jpg']","{'waistband.jpg', 'diary.jpg'}","{'waistband.jpg', 'diary.jpg'}",1.0
6,33L7PJKHCHK1BLDIVBBCQ52H2ZYT8C,A2LCWWEBLDW3H6,35ZRNT9RUIKXBC4AXBPGHUS3U153OO,Submitted,2022-05-12 22:42:18+03:00,solve_create_qualification_57,"['steakhouse.jpg', 'church.jpg', 'toaster.jpg', 'waterfall.jpg', 'bullseye.jpg', 'bible.jpg']","{'bullseye.jpg', 'church.jpg'}","{'bullseye.jpg', 'church.jpg'}",1.0
7,3UNH76FOCTRCDWEGZI8U34VR165YMU,A2LCWWEBLDW3H6,31JUPBOORNQB6O7JW04KGUWKFIS8L4,Submitted,2022-05-12 22:42:02+03:00,solve_create_qualification_182,"['air.jpg', 'water.jpg', 'iris.jpg', 'submarine.jpg', 'sink.jpg']","{'air.jpg', 'iris.jpg'}","{'air.jpg', 'iris.jpg'}",1.0
8,31Z0PCVWUL1XB78ZL6J6C56MRFST7P,A2LCWWEBLDW3H6,3IV1AEQ4DRZ5BYJJTFS70FJSBTN8J2,Submitted,2022-05-12 22:41:44+03:00,solve_create_qualification_83,"['magician.jpg', 'fat.jpg', 'button.jpg', 'laboratory.jpg', 'tummy.jpg']","{'tummy.jpg', 'laboratory.jpg', 'fat.jpg'}","{'tummy.jpg', 'laboratory.jpg', 'fat.jpg'}",1.0
9,3LOTDFNYA8L2IHRZYUMTNHQ2TXTWFM,A2LCWWEBLDW3H6,37SQU136V7AG5HJU45DMH50Y36H117,Submitted,2022-05-12 22:41:56+03:00,solve_create_qualification_212,"['air.jpg', 'water.jpg', 'iris.jpg', 'submarine.jpg', 'sink.jpg']","{'air.jpg', 'water.jpg'}","{'air.jpg', 'water.jpg'}",1.0
10,3BDCF01OGYGS7EWVZ67F3RG211FYLS,A2LCWWEBLDW3H6,3L21G7IH47IDVNUXGUKVVSB8ARPY11,Submitted,2022-05-12 22:41:48+03:00,solve_create_qualification_149,"['pet.jpg', 'floss.jpg', 'shave.jpg', 'limo.jpg', 'child.jpg', 'typewriter.jpg']","{'floss.jpg', 'shave.jpg'}","{'floss.jpg', 'shave.jpg'}",1.0
11,3H7XDTSHKDD8WHNU9ESB52QEUCTWGL,A2LCWWEBLDW3H6,386659BNTL3GYSYC8M9M30HOYEB104,Submitted,2022-05-12 22:42:23+03:00,solve_create_qualification_90,"['mustache.jpg', 'cat.jpg', 'diary.jpg', 'waistband.jpg', 'nebula.jpg']","{'waistband.jpg', 'diary.jpg'}","{'waistband.jpg', 'diary.jpg'}",1.0
