,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,373ERPL3YPU7TQSEUKHB4QZ1UC6TR5,A30BPQ2QGZOXN8,33N1S8XHHM7D0D42CGMCV3MDSVE1ZA,Approved,2022-05-14 02:50:40+03:00,solve_create_159,"['forest.jpg', 'water.jpg', 'slide.jpg', 'ball.jpg', 'rain.jpg']","{'forest.jpg', 'slide.jpg', 'ball.jpg'}","{'forest.jpg', 'slide.jpg', 'ball.jpg'}",1.0
1,3SITXWYCNWVRU0K93XWITEF3PMSBXU,AB7MYP65HZ2MH,33N1S8XHHM7D0D42CGMCV3MDSVE1ZA,Approved,2022-05-14 02:53:23+03:00,solve_create_159,"['forest.jpg', 'water.jpg', 'slide.jpg', 'ball.jpg', 'rain.jpg']","{'forest.jpg', 'slide.jpg', 'ball.jpg'}","{'slide.jpg', 'ball.jpg', 'water.jpg'}",0.5
2,32ZKVD547G9FE2DVJ8PUMYQZIRRB3U,A3135Y3RMFC3PK,33N1S8XHHM7D0D42CGMCV3MDSVE1ZA,Approved,2022-05-14 03:06:23+03:00,solve_create_159,"['forest.jpg', 'water.jpg', 'slide.jpg', 'ball.jpg', 'rain.jpg']","{'forest.jpg', 'slide.jpg', 'ball.jpg'}","{'forest.jpg', 'slide.jpg', 'ball.jpg'}",1.0
3,3JPSL1DZ5TLHZW1DVD9D014Z5QVNAP,AB7MYP65HZ2MH,32K26U12DNAQJOF4RCH4BZAQTHAVDT,Approved,2022-05-14 02:25:44+03:00,solve_create_45,"['chimp.jpg', 'ring.jpg', 'money.jpg', 'bill.jpg', 'tag.jpg']","{'ring.jpg', 'tag.jpg'}","{'money.jpg', 'tag.jpg'}",0.3333333333333333
4,33CKWXB73K6IR1HOU7IMSTYTYVM119,A3135Y3RMFC3PK,32K26U12DNAQJOF4RCH4BZAQTHAVDT,Approved,2022-05-14 02:52:09+03:00,solve_create_45,"['chimp.jpg', 'ring.jpg', 'money.jpg', 'bill.jpg', 'tag.jpg']","{'ring.jpg', 'tag.jpg'}","{'ring.jpg', 'chimp.jpg'}",0.3333333333333333
5,3DI28L7YXB0HB2B06VD1ZDHNN4R1ET,A2M9JNCHRKMCC4,32K26U12DNAQJOF4RCH4BZAQTHAVDT,Approved,2022-05-14 03:11:38+03:00,solve_create_45,"['chimp.jpg', 'ring.jpg', 'money.jpg', 'bill.jpg', 'tag.jpg']","{'ring.jpg', 'tag.jpg'}","{'money.jpg', 'tag.jpg'}",0.3333333333333333
6,3BXQMRHWK0KVWNUBPHB4NNRT73BUM6,AB7MYP65HZ2MH,38F60IALAG3H7CALA5TUVA2M27LT0I,Approved,2022-05-14 02:07:46+03:00,solve_create_559,"['twins.jpg', 'ice.jpg', 'rhino.jpg', 'car.jpg', 'seaweed.jpg', 'loo.jpg']","{'ice.jpg', 'seaweed.jpg', 'loo.jpg'}","{'ice.jpg', 'seaweed.jpg', 'loo.jpg'}",1.0
7,336YQZE83W0EB84WOG3WFBZD8MLM5J,A2M9JNCHRKMCC4,38F60IALAG3H7CALA5TUVA2M27LT0I,Approved,2022-05-14 02:49:07+03:00,solve_create_559,"['twins.jpg', 'ice.jpg', 'rhino.jpg', 'car.jpg', 'seaweed.jpg', 'loo.jpg']","{'ice.jpg', 'seaweed.jpg', 'loo.jpg'}","{'ice.jpg', 'loo.jpg', 'rhino.jpg'}",0.5
8,3S96KQ6I9NQDSG99CJMRZ1IXFBHDTL,A2N9U74YIPDQ9F,38F60IALAG3H7CALA5TUVA2M27LT0I,Approved,2022-05-14 03:14:31+03:00,solve_create_559,"['twins.jpg', 'ice.jpg', 'rhino.jpg', 'car.jpg', 'seaweed.jpg', 'loo.jpg']","{'ice.jpg', 'seaweed.jpg', 'loo.jpg'}","{'ice.jpg', 'seaweed.jpg', 'loo.jpg'}",1.0
9,3RYC5T2D74F91YZ7D38RZGY459IRPV,AB7MYP65HZ2MH,3DWNFENNE3H4SXWHHC2S575QLHB4J5,Approved,2022-05-14 02:05:41+03:00,solve_create_308,"['list.jpg', 'quilt.jpg', 'vodka.jpg', 'library.jpg', 'book.jpg']","{'book.jpg', 'library.jpg', 'list.jpg'}","{'book.jpg', 'library.jpg', 'list.jpg'}",1.0
