,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3M0BCWMB8WIC50FJTS0WRV1WF9YBWQ,AKQAI78JTXXC9,3J94SKDEKIB9LU0PLLZR71GRGKL5DR,Submitted,2022-05-06 11:36:43+03:00,1865,"['ninja.jpg', 'lumberjack.jpg', 'crushed.jpg', 'dress.jpg', 'spy.jpg', 'cane.jpg']","{'spy.jpg', 'ninja.jpg'}","{'spy.jpg', 'cane.jpg'}",0.3333333333333333
1,3QEMNNSB2YLQUIC2ZGJQU5QFP32D7Y,A1FA3QRISJ1RIP,3J94SKDEKIB9LU0PLLZR71GRGKL5DR,Submitted,2022-05-06 11:54:25+03:00,1865,"['ninja.jpg', 'lumberjack.jpg', 'crushed.jpg', 'dress.jpg', 'spy.jpg', 'cane.jpg']","{'spy.jpg', 'ninja.jpg'}","{'spy.jpg', 'ninja.jpg'}",1.0
2,3OS46CRSLGLTKZYJ7RESUDWQU0Q6VX,A1WY3YGT618GC0,3J94SKDEKIB9LU0PLLZR71GRGKL5DR,Submitted,2022-05-06 16:47:52+03:00,1865,"['ninja.jpg', 'lumberjack.jpg', 'crushed.jpg', 'dress.jpg', 'spy.jpg', 'cane.jpg']","{'spy.jpg', 'ninja.jpg'}","{'spy.jpg', 'cane.jpg'}",0.3333333333333333
3,3WJ1OXY92B2WWPE9PBKUI4E4FKA8AD,AKQAI78JTXXC9,3UXQ63NLAA8U8M5QZCOST0OOZP9LBO,Submitted,2022-05-06 11:32:29+03:00,45,"['doctor.jpg', 'heart.jpg', 'wicker.jpg', 'acorn.jpg', 'cuff.jpg']","{'cuff.jpg', 'doctor.jpg', 'heart.jpg'}","{'acorn.jpg', 'doctor.jpg', 'heart.jpg'}",0.5
4,3DBQWDE4Y7KKTQPW0HIWSQODC1FN5H,A1FA3QRISJ1RIP,3UXQ63NLAA8U8M5QZCOST0OOZP9LBO,Submitted,2022-05-06 13:21:46+03:00,45,"['doctor.jpg', 'heart.jpg', 'wicker.jpg', 'acorn.jpg', 'cuff.jpg']","{'cuff.jpg', 'doctor.jpg', 'heart.jpg'}","{'cuff.jpg', 'doctor.jpg', 'heart.jpg'}",1.0
5,3MB8LZR5BGFXN97EVR6NHN364X6KLV,A1WY3YGT618GC0,3UXQ63NLAA8U8M5QZCOST0OOZP9LBO,Submitted,2022-05-06 16:43:48+03:00,45,"['doctor.jpg', 'heart.jpg', 'wicker.jpg', 'acorn.jpg', 'cuff.jpg']","{'cuff.jpg', 'doctor.jpg', 'heart.jpg'}","{'cuff.jpg', 'doctor.jpg', 'heart.jpg'}",1.0
6,3N2BF7Y2VRGQR1ORPI454823CKPHML,AKQAI78JTXXC9,3Z3R5YC0P3984GPBDNCFYHPQ80NFT3,Submitted,2022-05-06 11:38:34+03:00,1330,"['drink.jpg', 'goalie.jpg', 'armada.jpg', 'yellow.jpg', 'basket.jpg', 'alcohol.jpg']","{'alcohol.jpg', 'drink.jpg', 'yellow.jpg'}","{'goalie.jpg', 'alcohol.jpg', 'drink.jpg'}",0.5
7,3GD6L00D3TJFNQ3DNT1KCLMWVVY1MB,A1FA3QRISJ1RIP,3Z3R5YC0P3984GPBDNCFYHPQ80NFT3,Submitted,2022-05-06 12:57:13+03:00,1330,"['drink.jpg', 'goalie.jpg', 'armada.jpg', 'yellow.jpg', 'basket.jpg', 'alcohol.jpg']","{'alcohol.jpg', 'drink.jpg', 'yellow.jpg'}","{'alcohol.jpg', 'drink.jpg', 'yellow.jpg'}",1.0
8,3WI0P0II62E0C1WH8UHWZMHFQG0DR3,A1WY3YGT618GC0,3Z3R5YC0P3984GPBDNCFYHPQ80NFT3,Submitted,2022-05-06 16:45:44+03:00,1330,"['drink.jpg', 'goalie.jpg', 'armada.jpg', 'yellow.jpg', 'basket.jpg', 'alcohol.jpg']","{'alcohol.jpg', 'drink.jpg', 'yellow.jpg'}","{'goalie.jpg', 'alcohol.jpg', 'drink.jpg'}",0.5
9,37U1UTWH9W8OV60QRM6GDU3EFOY8RL,AKQAI78JTXXC9,3SX4X51T80VXVX3V6Q4OQ68CCCTOAD,Submitted,2022-05-06 11:35:13+03:00,247,"['bar.jpg', 'sit.jpg', 'chair.jpg', 'giant.jpg', 'ranch.jpg']","{'sit.jpg', 'bar.jpg', 'chair.jpg'}","{'sit.jpg', 'bar.jpg', 'chair.jpg'}",1.0
10,33OOO72IVI73NO3VCNRGFV0FT0HCT9,A1FA3QRISJ1RIP,3SX4X51T80VXVX3V6Q4OQ68CCCTOAD,Submitted,2022-05-06 11:51:45+03:00,247,"['bar.jpg', 'sit.jpg', 'chair.jpg', 'giant.jpg', 'ranch.jpg']","{'sit.jpg', 'bar.jpg', 'chair.jpg'}","{'sit.jpg', 'bar.jpg', 'chair.jpg'}",1.0
11,3K772S5NP9XSFDWE8KGMR0XU3J3EH0,A1WY3YGT618GC0,3SX4X51T80VXVX3V6Q4OQ68CCCTOAD,Submitted,2022-05-06 16:49:07+03:00,247,"['bar.jpg', 'sit.jpg', 'chair.jpg', 'giant.jpg', 'ranch.jpg']","{'sit.jpg', 'bar.jpg', 'chair.jpg'}","{'sit.jpg', 'bar.jpg', 'chair.jpg'}",1.0
12,3YDTZAI2WY2ZJ0E7HP1OQR5W94841E,AKQAI78JTXXC9,3S1L4CQSFXR3PKQ27NLY3CZYKB2AFD,Submitted,2022-05-06 11:32:47+03:00,1434,"['milk.jpg', 'mastercard.jpg', 'sea.jpg', 'cactus.jpg', 'boat.jpg', 'ship.jpg']","{'ship.jpg', 'sea.jpg', 'boat.jpg'}","{'ship.jpg', 'sea.jpg', 'boat.jpg'}",1.0
13,3EG49X351VYLOO3E76FAIYTBAAXX6O,A1FA3QRISJ1RIP,3S1L4CQSFXR3PKQ27NLY3CZYKB2AFD,Submitted,2022-05-06 12:56:25+03:00,1434,"['milk.jpg', 'mastercard.jpg', 'sea.jpg', 'cactus.jpg', 'boat.jpg', 'ship.jpg']","{'ship.jpg', 'sea.jpg', 'boat.jpg'}","{'ship.jpg', 'sea.jpg', 'boat.jpg'}",1.0
14,3O7L7BFSHFBSB87YE2Y7RCY93WIEIT,A1WY3YGT618GC0,3S1L4CQSFXR3PKQ27NLY3CZYKB2AFD,Submitted,2022-05-06 16:49:15+03:00,1434,"['milk.jpg', 'mastercard.jpg', 'sea.jpg', 'cactus.jpg', 'boat.jpg', 'ship.jpg']","{'ship.jpg', 'sea.jpg', 'boat.jpg'}","{'ship.jpg', 'sea.jpg', 'boat.jpg'}",1.0
15,3T111IHZ5FCO9BJ0WECUDQYPZUFR9S,AKQAI78JTXXC9,338GLSUI43X7PGCWON7POCT46H9FSE,Submitted,2022-05-06 11:34:20+03:00,1345,"['bomb.jpg', 'light.jpg', 'model.jpg', 'star.jpg', 'sun.jpg', 'daddy.jpg']","{'star.jpg', 'light.jpg', 'sun.jpg'}","{'star.jpg', 'bomb.jpg', 'sun.jpg'}",0.5
