,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3MYYFCXHJ4TWNF4AZ8MSAA7NAKDG44,A2LCWWEBLDW3H6,3NRZ1LDP7WSGH5N4XIX4AV28J48ZPC,Submitted,2022-05-16 23:13:36+03:00,solve_create_109,"['fight.jpg', 'poodle.jpg', 'game.jpg', 'chicken.jpg', 'mucus.jpg']","{'poodle.jpg', 'chicken.jpg'}","{'poodle.jpg', 'chicken.jpg'}",1.0
1,3PEIJLRY6UFJI3IKYOSFTOQ9X38WXY,A2LCWWEBLDW3H6,3BC9H1KCYUY6WOA0DI9GOI12677WYD,Submitted,2022-05-16 23:19:39+03:00,solve_create_205,"['washing.jpg', 'bottle.jpg', 'soap.jpg', 'water.jpg', 'shower.jpg', 'scribe.jpg']","{'bottle.jpg', 'water.jpg', 'soap.jpg'}","{'shower.jpg', 'water.jpg', 'soap.jpg'}",0.5
2,3P4RDNWND6S0MOTQS39Z1O9M7UVIJP,A2LCWWEBLDW3H6,3IV1AEQ4DRZ5BYJJTFS70FJSBWW8JH,Submitted,2022-05-16 23:14:16+03:00,solve_create_492,"['fiber.jpg', 'jungle.jpg', 'buttons.jpg', 'woman.jpg', 'shirt.jpg']","{'shirt.jpg', 'woman.jpg'}","{'shirt.jpg', 'woman.jpg'}",1.0
3,39N5ACM9HF93XY3LJM86LRWVX3EP9D,A2LCWWEBLDW3H6,3RHLQY6EDTQRPBWP7GGJG58A4Q34DS,Submitted,2022-05-16 23:14:06+03:00,solve_create_41,"['lava.jpg', 'sleigh.jpg', 'fire.jpg', 'hot.jpg', 'bud.jpg']","{'fire.jpg', 'hot.jpg', 'lava.jpg'}","{'fire.jpg', 'hot.jpg', 'lava.jpg'}",1.0
4,3TXD01ZLD53FSX55JDB9EP8EJSSU4I,A2LCWWEBLDW3H6,3VLL1PIENQAYW5B3IIKPLVXI9ZCZOV,Submitted,2022-05-16 23:15:07+03:00,solve_create_174,"['dawn.jpg', 'road.jpg', 'snow.jpg', 'supper.jpg', 'weave.jpg', 'water.jpg']","{'water.jpg', 'snow.jpg'}","{'weave.jpg', 'dawn.jpg'}",0.0
5,3L4PIM1GQU23ACR84Q4BP3P17UNRYW,A2LCWWEBLDW3H6,3IHWR4LC7DZ9GNZDBX77OE4SYH78I5,Submitted,2022-05-16 23:20:25+03:00,solve_create_506,"['logo.jpg', 'broom.jpg', 'roof.jpg', 'music.jpg', 'bow.jpg']","{'bow.jpg', 'broom.jpg'}","{'roof.jpg', 'broom.jpg'}",0.3333333333333333
6,33M4IA01QHNEA71YZUI96PIS5OTRXQ,A2LCWWEBLDW3H6,3XT3KXP24ZKMC9GPIIA94081SMH6IH,Submitted,2022-05-16 23:19:52+03:00,solve_create_91,"['soap.jpg', 'snack.jpg', 'night.jpg', 'bed.jpg', 'sleep.jpg']","{'sleep.jpg', 'bed.jpg', 'soap.jpg'}","{'sleep.jpg', 'bed.jpg', 'soap.jpg'}",1.0
7,3C5W7UE9CGCNDRO6UMMSKQOIZ1UMXX,A2LCWWEBLDW3H6,3EHIMLB7F7L9KSOT5FPMO23DY4S8HC,Submitted,2022-05-16 23:13:59+03:00,solve_create_531,"['loo.jpg', 'money.jpg', 'car.jpg', 'acid.jpg', 'jewelry.jpg', 'paper.jpg']","{'acid.jpg', 'money.jpg', 'paper.jpg'}","{'acid.jpg', 'paper.jpg', 'loo.jpg'}",0.5
8,3XCC1ODXDMXU1A0MDGNHCHMZ8L6RQT,A2LCWWEBLDW3H6,3TTPFEFXCT6MGE55C0SO4O7MS926HO,Submitted,2022-05-16 23:15:15+03:00,solve_create_1,"['fat.jpg', 'jeans.jpg', 'tag.jpg', 'plumbing.jpg', 'zeppelin.jpg', 'swimming.jpg']","{'fat.jpg', 'jeans.jpg'}","{'fat.jpg', 'jeans.jpg'}",1.0
9,3UNH76FOCTRCDWEGZI8U34VR17OMY3,A2LCWWEBLDW3H6,301KG0KX9C7YYDM4PYGLEBQAC402H3,Submitted,2022-05-16 23:14:42+03:00,solve_create_92,"['soap.jpg', 'snack.jpg', 'night.jpg', 'bed.jpg', 'sleep.jpg']","{'night.jpg', 'soap.jpg'}","{'night.jpg', 'soap.jpg'}",1.0
10,3B837J3LDPI6EQFZ5KCM7H10Q9RRSI,A2LCWWEBLDW3H6,3V0TR1NRVAOTR4TDN6PHQ404JN64AQ,Submitted,2022-05-16 23:19:24+03:00,solve_create_33,"['drink.jpg', 'roller.jpg', 'granola.jpg', 'alcohol.jpg', 'clarinet.jpg', 'parsley.jpg']","{'drink.jpg', 'roller.jpg', 'clarinet.jpg'}","{'drink.jpg', 'roller.jpg', 'clarinet.jpg'}",1.0
11,3ZQIG0FLQF2REEDPY9RX53TOHS0WVV,A2LCWWEBLDW3H6,3O0M2G5VC6OFMLJ8V0BHU9PKD5O49B,Submitted,2022-05-16 23:14:35+03:00,solve_create_368,"['drug.jpg', 'turtle.jpg', 'scream.jpg', 'baby.jpg', 'corpse.jpg']","{'corpse.jpg', 'scream.jpg'}","{'corpse.jpg', 'scream.jpg'}",1.0
12,3LPW2N6LKUOXOG95XIUJJHESJONU5N,A2LCWWEBLDW3H6,3SMIWMMK61RPFFQV3HCRLXVPAJWWUF,Submitted,2022-05-16 23:15:41+03:00,solve_create_354,"['ship.jpg', 'boat.jpg', 'hillbilly.jpg', 'group.jpg', 'cut.jpg', 'lane.jpg']","{'boat.jpg', 'ship.jpg'}","{'boat.jpg', 'ship.jpg'}",1.0
13,3C8HJ7UOP8GCIMOLV4ADHB4T71SMZU,A2LCWWEBLDW3H6,3ZUE82NE0ANP6WXNAP1MLHR0IPF8FE,Submitted,2022-05-16 23:15:22+03:00,solve_create_539,"['ruby.jpg', 'family.jpg', 'cookie.jpg', 'house.jpg', 'lemon.jpg']","{'family.jpg', 'house.jpg'}","{'family.jpg', 'house.jpg'}",1.0
