,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,32VNZTT0A8QNC5DOFJG3WIN9FBT4RL,A30BPQ2QGZOXN8,3X7837UUADKI7K0V00V725P4HDQ6JB,Approved,2022-05-22 18:05:15+03:00,solve_game_test_1723,"['olympics.jpg', 'maze.jpg', 'rodent.jpg', 'spam.jpg', 'sidewalk.jpg']","{'rodent.jpg', 'spam.jpg'}","{'rodent.jpg', 'spam.jpg'}",1.0
1,3VZLGYJEYMWNCYNP9BCLFWM6HN4XZ9,A193SP8INHA4MB,3X7837UUADKI7K0V00V725P4HDQ6JB,Approved,2022-05-23 05:05:00+03:00,solve_game_test_1723,"['olympics.jpg', 'maze.jpg', 'rodent.jpg', 'spam.jpg', 'sidewalk.jpg']","{'rodent.jpg', 'spam.jpg'}","{'rodent.jpg', 'spam.jpg'}",1.0
2,3PEIJLRY6UFJI3IKYOSEGSSO0MOWX8,AHB3QFZSFN9DL,3X7837UUADKI7K0V00V725P4HDQ6JB,Approved,2022-05-23 09:26:23+03:00,solve_game_test_1723,"['olympics.jpg', 'maze.jpg', 'rodent.jpg', 'spam.jpg', 'sidewalk.jpg']","{'rodent.jpg', 'spam.jpg'}","{'rodent.jpg', 'spam.jpg'}",1.0
3,3TS1AR6UQR0NS2QYQMEGI5T03P97FE,AXFTXWW2B0Y5B,3UOMW19E6DSZG2UBLP4GNVY9VY6C5N,Approved,2022-05-22 18:33:43+03:00,solve_game_test_629,"['cocoa.jpg', 'kitchen.jpg', 'food.jpg', 'flag.jpg', 'baking.jpg', 'reporter.jpg']","{'cocoa.jpg', 'reporter.jpg'}","{'cocoa.jpg', 'reporter.jpg'}",1.0
4,3GD6L00D3TJFNQ3DNT1KCLMWX431M0,A30BPQ2QGZOXN8,3UOMW19E6DSZG2UBLP4GNVY9VY6C5N,Approved,2022-05-23 02:58:50+03:00,solve_game_test_629,"['cocoa.jpg', 'kitchen.jpg', 'food.jpg', 'flag.jpg', 'baking.jpg', 'reporter.jpg']","{'cocoa.jpg', 'reporter.jpg'}","{'cocoa.jpg', 'reporter.jpg'}",1.0
5,3SB4CE2TJWHMBQFHXJWMY3VX82WAXK,AD1ILDUXZHASF,3UOMW19E6DSZG2UBLP4GNVY9VY6C5N,Approved,2022-05-23 04:50:21+03:00,solve_game_test_629,"['cocoa.jpg', 'kitchen.jpg', 'food.jpg', 'flag.jpg', 'baking.jpg', 'reporter.jpg']","{'cocoa.jpg', 'reporter.jpg'}","{'flag.jpg', 'reporter.jpg'}",0.3333333333333333
6,3PJ71Z61R5O0G6KJYKXF7ZGCX4W917,A30BPQ2QGZOXN8,3Z8UJEJOCZZU4P04VM6W68ZHBHC93D,Approved,2022-05-22 05:36:58+03:00,solve_game_test_1789,"['ball.jpg', 'knight.jpg', 'arm.jpg', 'mint.jpg', 'coop.jpg', 'pumpkin.jpg']","{'mint.jpg', 'pumpkin.jpg'}","{'mint.jpg', 'pumpkin.jpg'}",1.0
7,37ZHEEHM6X8SCQA56RDEHW430Z4735,AXFTXWW2B0Y5B,3Z8UJEJOCZZU4P04VM6W68ZHBHC93D,Approved,2022-05-22 18:31:21+03:00,solve_game_test_1789,"['ball.jpg', 'knight.jpg', 'arm.jpg', 'mint.jpg', 'coop.jpg', 'pumpkin.jpg']","{'mint.jpg', 'pumpkin.jpg'}","{'mint.jpg', 'pumpkin.jpg'}",1.0
8,3U088ZLJVLFBLDC9VC377E5DQEG0WS,A193SP8INHA4MB,3Z8UJEJOCZZU4P04VM6W68ZHBHC93D,Approved,2022-05-23 05:07:02+03:00,solve_game_test_1789,"['ball.jpg', 'knight.jpg', 'arm.jpg', 'mint.jpg', 'coop.jpg', 'pumpkin.jpg']","{'mint.jpg', 'pumpkin.jpg'}","{'mint.jpg', 'pumpkin.jpg'}",1.0
9,3E1QT0TDFQVB27X71ZC7Z22NU16I82,A30BPQ2QGZOXN8,351S7I5UG9IQE56NZHHO4GBQC3FJNY,Approved,2022-05-22 18:07:39+03:00,solve_game_test_1048,"['bullseye.jpg', 'float.jpg', 'cell.jpg', 'church.jpg', 'package.jpg', 'monk.jpg']","{'float.jpg', 'bullseye.jpg'}","{'float.jpg', 'bullseye.jpg'}",1.0
