,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3HYA4D452S5G61TSKAXLMECSS8S2FW,A104V8NZIQFN2F,3MDKGGG61Q9CLNW0CU9B4BCDFFCT6Y,Submitted,2022-05-21 22:59:00+03:00,solve_create_421,"['sheet.jpg', 'wine.jpg', 'quiz.jpg', 'ketchup.jpg', 'plutonium.jpg']","{'wine.jpg', 'ketchup.jpg'}","{'wine.jpg', 'ketchup.jpg'}",1.0
1,3R6BYFZZP8YH7HWP8ZIEC46O5HTFXK,AKQAI78JTXXC9,3MDKGGG61Q9CLNW0CU9B4BCDFFCT6Y,Submitted,2022-05-21 23:04:34+03:00,solve_create_421,"['sheet.jpg', 'wine.jpg', 'quiz.jpg', 'ketchup.jpg', 'plutonium.jpg']","{'wine.jpg', 'ketchup.jpg'}","{'wine.jpg', 'ketchup.jpg'}",1.0
2,36PW28KO40ID5QO02E6UAEAQSV6EAY,A3FQNVDMR1ORAT,3MDKGGG61Q9CLNW0CU9B4BCDFFCT6Y,Submitted,2022-05-21 23:17:49+03:00,solve_create_421,"['sheet.jpg', 'wine.jpg', 'quiz.jpg', 'ketchup.jpg', 'plutonium.jpg']","{'wine.jpg', 'ketchup.jpg'}","{'wine.jpg', 'ketchup.jpg'}",1.0
3,3H8DHMCCWAXEPXJMIA8ZYAV1XVSDKC,A104V8NZIQFN2F,39N6W9XWRD9AZ2K0YD5WOJHHOVXYGU,Submitted,2022-05-21 21:06:57+03:00,solve_create_52,"['orthodontist.jpg', 'cooker.jpg', 'insulin.jpg', 'toilet.jpg', 'rifle.jpg']","{'rifle.jpg', 'insulin.jpg'}","{'rifle.jpg', 'insulin.jpg'}",1.0
4,3TPWUS5F8ANVF57P7SWR2F7EZ2SWCU,AKQAI78JTXXC9,39N6W9XWRD9AZ2K0YD5WOJHHOVXYGU,Submitted,2022-05-21 22:15:59+03:00,solve_create_52,"['orthodontist.jpg', 'cooker.jpg', 'insulin.jpg', 'toilet.jpg', 'rifle.jpg']","{'rifle.jpg', 'insulin.jpg'}","{'rifle.jpg', 'insulin.jpg'}",1.0
5,3VJ40NV2QJ94WD0Y2S07AVUWKMWOTW,A3FQNVDMR1ORAT,39N6W9XWRD9AZ2K0YD5WOJHHOVXYGU,Submitted,2022-05-21 23:15:23+03:00,solve_create_52,"['orthodontist.jpg', 'cooker.jpg', 'insulin.jpg', 'toilet.jpg', 'rifle.jpg']","{'rifle.jpg', 'insulin.jpg'}","{'rifle.jpg', 'insulin.jpg'}",1.0
6,308Q0PEVB9ZBGCGH6RILZYXYE6T9IL,AKQAI78JTXXC9,3QE4DGPGBRXU1V6G96HP8UDATUYG4R,Submitted,2022-05-21 22:30:59+03:00,solve_create_786,"['satellite.jpg', 'beach.jpg', 'lotion.jpg', 'clothes.jpg', 'troll.jpg']","{'beach.jpg', 'satellite.jpg'}","{'beach.jpg', 'satellite.jpg'}",1.0
7,32Z9ZLUT1M6ER4932YJIWCR89S1OHM,A3FQNVDMR1ORAT,3QE4DGPGBRXU1V6G96HP8UDATUYG4R,Submitted,2022-05-21 23:12:49+03:00,solve_create_786,"['satellite.jpg', 'beach.jpg', 'lotion.jpg', 'clothes.jpg', 'troll.jpg']","{'beach.jpg', 'satellite.jpg'}","{'beach.jpg', 'satellite.jpg'}",1.0
8,3LJ7UR74RIZ2X7LWMCZMNYIZEDB4N2,A104V8NZIQFN2F,3QE4DGPGBRXU1V6G96HP8UDATUYG4R,Submitted,2022-05-21 23:17:59+03:00,solve_create_786,"['satellite.jpg', 'beach.jpg', 'lotion.jpg', 'clothes.jpg', 'troll.jpg']","{'beach.jpg', 'satellite.jpg'}","{'beach.jpg', 'satellite.jpg'}",1.0
9,3B3WTRP3DCO75R2FHOXTCIQHPAR29Y,A104V8NZIQFN2F,3ABAOCJ4R8Q1IAP0I6MXO2YCL8SQMR,Submitted,2022-05-21 20:51:48+03:00,solve_create_442,"['port.jpg', 'stuffing.jpg', 'chest.jpg', 'catwalk.jpg', 'teddy.jpg']","{'port.jpg', 'teddy.jpg'}","{'port.jpg', 'teddy.jpg'}",1.0
10,3OUYGIZWR8KL14F8JQPCFKXHXGT0PB,AKQAI78JTXXC9,3ABAOCJ4R8Q1IAP0I6MXO2YCL8SQMR,Submitted,2022-05-21 22:03:23+03:00,solve_create_442,"['port.jpg', 'stuffing.jpg', 'chest.jpg', 'catwalk.jpg', 'teddy.jpg']","{'port.jpg', 'teddy.jpg'}","{'port.jpg', 'teddy.jpg'}",1.0
11,3M81GAB8A157L3JXHJ1QZ6JATGDBQ0,A2N9U74YIPDQ9F,3ABAOCJ4R8Q1IAP0I6MXO2YCL8SQMR,Submitted,2022-05-21 22:27:58+03:00,solve_create_442,"['port.jpg', 'stuffing.jpg', 'chest.jpg', 'catwalk.jpg', 'teddy.jpg']","{'port.jpg', 'teddy.jpg'}","{'stuffing.jpg', 'teddy.jpg'}",0.3333333333333333
12,3CP1TO84PUNO4403EYKC02LF3E6255,A104V8NZIQFN2F,3OWZNK3RYLB33ZSOPXNIJUH3IOI2UI,Submitted,2022-05-21 20:19:00+03:00,solve_create_242,"['curry.jpg', 'puck.jpg', 'cider.jpg', 'stuffing.jpg', 'solid.jpg', 'blacksmith.jpg']","{'solid.jpg', 'cider.jpg'}","{'solid.jpg', 'cider.jpg'}",1.0
13,3LBXNTKX0SH8675C5DIM28KD2JX9XL,AKQAI78JTXXC9,3OWZNK3RYLB33ZSOPXNIJUH3IOI2UI,Submitted,2022-05-21 22:51:34+03:00,solve_create_242,"['curry.jpg', 'puck.jpg', 'cider.jpg', 'stuffing.jpg', 'solid.jpg', 'blacksmith.jpg']","{'solid.jpg', 'cider.jpg'}","{'solid.jpg', 'cider.jpg'}",1.0
14,3NGI5ARFTURL8T0QF9TCTPGR2821PI,A3FQNVDMR1ORAT,3OWZNK3RYLB33ZSOPXNIJUH3IOI2UI,Submitted,2022-05-21 23:16:14+03:00,solve_create_242,"['curry.jpg', 'puck.jpg', 'cider.jpg', 'stuffing.jpg', 'solid.jpg', 'blacksmith.jpg']","{'solid.jpg', 'cider.jpg'}","{'solid.jpg', 'blacksmith.jpg'}",0.3333333333333333
15,31LM9EDVOMES0P4HPJMQT07IWATNJ4,A104V8NZIQFN2F,3R15W654VDFHCS7FIULIOPJNL32QLP,Submitted,2022-05-21 20:49:46+03:00,solve_create_584,"['printer.jpg', 'coffee.jpg', 'shampoo.jpg', 'plug.jpg', 'tick.jpg', 'world.jpg']","{'printer.jpg', 'plug.jpg'}","{'printer.jpg', 'plug.jpg'}",1.0
16,3XUHV3NRVLKSJU3LXJNJN6RHSXW5HY,AKQAI78JTXXC9,3R15W654VDFHCS7FIULIOPJNL32QLP,Submitted,2022-05-21 23:00:03+03:00,solve_create_584,"['printer.jpg', 'coffee.jpg', 'shampoo.jpg', 'plug.jpg', 'tick.jpg', 'world.jpg']","{'printer.jpg', 'plug.jpg'}","{'printer.jpg', 'plug.jpg'}",1.0
17,3Z7EFSHGNA0A45CFHXSD4YLL841XCR,A3FQNVDMR1ORAT,3R15W654VDFHCS7FIULIOPJNL32QLP,Submitted,2022-05-21 23:17:40+03:00,solve_create_584,"['printer.jpg', 'coffee.jpg', 'shampoo.jpg', 'plug.jpg', 'tick.jpg', 'world.jpg']","{'printer.jpg', 'plug.jpg'}","{'coffee.jpg', 'plug.jpg'}",0.3333333333333333
18,3018Q3ZVOJC2EUT5OKQU9L997KNARY,A104V8NZIQFN2F,3TLFH2L6Y9AO3MDZPSX8EYV1ZAB2TR,Submitted,2022-05-21 20:22:44+03:00,solve_create_560,"['yank.jpg', 'treasure.jpg', 'gin.jpg', 'pullover.jpg', 'lead.jpg', 'flooring.jpg']","{'treasure.jpg', 'pullover.jpg'}","{'gin.jpg', 'pullover.jpg'}",0.3333333333333333
19,3Z7ISHFUH1HXXXMH130TZX5DQDC8ZR,AKQAI78JTXXC9,3TLFH2L6Y9AO3MDZPSX8EYV1ZAB2TR,Submitted,2022-05-21 22:15:39+03:00,solve_create_560,"['yank.jpg', 'treasure.jpg', 'gin.jpg', 'pullover.jpg', 'lead.jpg', 'flooring.jpg']","{'treasure.jpg', 'pullover.jpg'}","{'pullover.jpg', 'yank.jpg'}",0.3333333333333333
20,3AUQQEL7U6FY6OC452YBLCMZJ4X0VZ,A3FQNVDMR1ORAT,3TLFH2L6Y9AO3MDZPSX8EYV1ZAB2TR,Submitted,2022-05-21 23:09:12+03:00,solve_create_560,"['yank.jpg', 'treasure.jpg', 'gin.jpg', 'pullover.jpg', 'lead.jpg', 'flooring.jpg']","{'treasure.jpg', 'pullover.jpg'}","{'treasure.jpg', 'pullover.jpg'}",1.0
21,36DSNE9QZ6KAIA4TQYM38P7NMK4JOL,A2N9U74YIPDQ9F,3AQN9REUTF27NIA9WN4OIYEKB3HYDK,Submitted,2022-05-21 22:28:23+03:00,solve_create_58,"['doll.jpg', 'euro.jpg', 'toaster.jpg', 'sheath.jpg', 'parent.jpg']","{'sheath.jpg', 'parent.jpg'}","{'euro.jpg', 'parent.jpg'}",0.3333333333333333
22,3PW9OPU9PR6PGMZKDBI0XC8YRY921V,A104V8NZIQFN2F,3AQN9REUTF27NIA9WN4OIYEKB3HYDK,Submitted,2022-05-21 22:57:12+03:00,solve_create_58,"['doll.jpg', 'euro.jpg', 'toaster.jpg', 'sheath.jpg', 'parent.jpg']","{'sheath.jpg', 'parent.jpg'}","{'sheath.jpg', 'parent.jpg'}",1.0
23,3Y4W8Q93L06S58DYHEM60J6IDT5DV4,AKQAI78JTXXC9,3AQN9REUTF27NIA9WN4OIYEKB3HYDK,Submitted,2022-05-21 23:07:22+03:00,solve_create_58,"['doll.jpg', 'euro.jpg', 'toaster.jpg', 'sheath.jpg', 'parent.jpg']","{'sheath.jpg', 'parent.jpg'}","{'sheath.jpg', 'parent.jpg'}",1.0
24,33NF62TLXKORSJJES6UA18QE2FSJKZ,A104V8NZIQFN2F,3MIVREZQVHK6SMPXXU9H9P68W3XQKM,Submitted,2022-05-21 21:48:17+03:00,solve_create_627,"['family.jpg', 'limo.jpg', 'grandmother.jpg', 'tarmac.jpg', 'keyboard.jpg', 'penny.jpg']","{'family.jpg', 'penny.jpg', 'grandmother.jpg'}","{'family.jpg', 'penny.jpg', 'grandmother.jpg'}",1.0
25,3MHW492WW1ZV92JBU7L9J9TCM7XMVV,AKQAI78JTXXC9,3MIVREZQVHK6SMPXXU9H9P68W3XQKM,Submitted,2022-05-21 23:05:22+03:00,solve_create_627,"['family.jpg', 'limo.jpg', 'grandmother.jpg', 'tarmac.jpg', 'keyboard.jpg', 'penny.jpg']","{'family.jpg', 'penny.jpg', 'grandmother.jpg'}","{'family.jpg', 'penny.jpg', 'grandmother.jpg'}",1.0
26,340UGXU9DZNEMAOK39CVAJA6ZT0VUW,A3FQNVDMR1ORAT,3MIVREZQVHK6SMPXXU9H9P68W3XQKM,Submitted,2022-05-21 23:08:52+03:00,solve_create_627,"['family.jpg', 'limo.jpg', 'grandmother.jpg', 'tarmac.jpg', 'keyboard.jpg', 'penny.jpg']","{'family.jpg', 'penny.jpg', 'grandmother.jpg'}","{'family.jpg', 'penny.jpg', 'grandmother.jpg'}",1.0
27,3VNXK88KKD4G2I0H5YH4ENNSM8G9V9,A104V8NZIQFN2F,38DCH97KHHOBH2JFF9958A6VHEXQJN,Submitted,2022-05-21 20:02:41+03:00,solve_create_128,"['yarn.jpg', 'lime.jpg', 'kangaroo.jpg', 'timer.jpg', 'bullseye.jpg', 'racket.jpg']","{'racket.jpg', 'kangaroo.jpg'}","{'timer.jpg', 'kangaroo.jpg'}",0.3333333333333333
28,3IXQG4FA2UK1T42B0HQ4DBTLJG99BC,A2N9U74YIPDQ9F,38DCH97KHHOBH2JFF9958A6VHEXQJN,Submitted,2022-05-21 22:28:07+03:00,solve_create_128,"['yarn.jpg', 'lime.jpg', 'kangaroo.jpg', 'timer.jpg', 'bullseye.jpg', 'racket.jpg']","{'racket.jpg', 'kangaroo.jpg'}","{'racket.jpg', 'kangaroo.jpg'}",1.0
29,33LKR6A5KF6J0LTXWQ2WYZHORBMT1E,A3FQNVDMR1ORAT,38DCH97KHHOBH2JFF9958A6VHEXQJN,Submitted,2022-05-21 23:06:39+03:00,solve_create_128,"['yarn.jpg', 'lime.jpg', 'kangaroo.jpg', 'timer.jpg', 'bullseye.jpg', 'racket.jpg']","{'racket.jpg', 'kangaroo.jpg'}","{'timer.jpg', 'kangaroo.jpg'}",0.3333333333333333
30,3EJJQNKU9SRHOH1JUQ0MQ7WDKFCRHP,A104V8NZIQFN2F,3L55D8AUFAJXIQ4VWR9DYSW2Q35YCK,Submitted,2022-05-21 20:17:18+03:00,solve_create_598,"['thread.jpg', 'organism.jpg', 'blinking.jpg', 'dark.jpg', 'toe.jpg', 'potato.jpg']","{'organism.jpg', 'thread.jpg'}","{'organism.jpg', 'thread.jpg'}",1.0
31,3YMTUJH0DT20SKQGJ8LYWXOR3VW4T2,AKQAI78JTXXC9,3L55D8AUFAJXIQ4VWR9DYSW2Q35YCK,Submitted,2022-05-21 22:56:27+03:00,solve_create_598,"['thread.jpg', 'organism.jpg', 'blinking.jpg', 'dark.jpg', 'toe.jpg', 'potato.jpg']","{'organism.jpg', 'thread.jpg'}","{'organism.jpg', 'thread.jpg'}",1.0
32,354GIDR5ZCSIDNBO25AM0JW9P8J006,A3135Y3RMFC3PK,3L55D8AUFAJXIQ4VWR9DYSW2Q35YCK,Submitted,2022-05-21 23:00:33+03:00,solve_create_598,"['thread.jpg', 'organism.jpg', 'blinking.jpg', 'dark.jpg', 'toe.jpg', 'potato.jpg']","{'organism.jpg', 'thread.jpg'}","{'organism.jpg', 'thread.jpg'}",1.0
33,3PS7W85Z80O1PQWS03HPD5Z7PN79T0,AKQAI78JTXXC9,3N2YPY1GI6KVBUT4N7SOHHSBTYGVE1,Submitted,2022-05-21 21:51:43+03:00,solve_create_444,"['playstation.jpg', 'jogger.jpg', 'keyboard.jpg', 'luggage.jpg', 'tiger.jpg']","{'jogger.jpg', 'tiger.jpg'}","{'jogger.jpg', 'tiger.jpg'}",1.0
34,3TMFV4NEP90T32HCQGGM0TBV9B88W1,A104V8NZIQFN2F,3N2YPY1GI6KVBUT4N7SOHHSBTYGVE1,Submitted,2022-05-21 22:04:50+03:00,solve_create_444,"['playstation.jpg', 'jogger.jpg', 'keyboard.jpg', 'luggage.jpg', 'tiger.jpg']","{'jogger.jpg', 'tiger.jpg'}","{'tiger.jpg', 'luggage.jpg'}",0.3333333333333333
