,AssignmentId,WorkerId,HITId,AssignmentStatus,SubmitTime,id,candidates,labels,user_predictions,jaccard
0,3HUTX6F6VV9ACE6LJDGCM4JRHRW2O3,A2LCWWEBLDW3H6,3BAKUKE49HY4YMIB2ZS1NWIB75YR1I,Submitted,2022-05-14 01:31:27+03:00,solve_create_276,"['beard.jpg', 'thread.jpg', 'sewing.jpg', 'needle.jpg', 'smoking.jpg', 'biker.jpg']","{'smoking.jpg', 'biker.jpg', 'beard.jpg'}","{'smoking.jpg', 'biker.jpg', 'beard.jpg'}",1.0
1,336KAV9KYREM6SANP0PAOVHTV1UY29,A2LCWWEBLDW3H6,3PCPFX4U40CVC0XJWJIM78C0CTFFQ6,Submitted,2022-05-14 01:30:26+03:00,solve_create_282,"['rake.jpg', 'fish.jpg', 'glass.jpg', 'water.jpg', 'aquarium.jpg', 'washing machine.jpg']","{'fish.jpg', 'aquarium.jpg', 'glass.jpg'}","{'fish.jpg', 'aquarium.jpg', 'water.jpg'}",0.5
2,3Q5ZZ9ZEVP1ZQJ2SUFTENPW3MWJ584,A2LCWWEBLDW3H6,3T5ZXGO9DEA1HHOJXVCTA0SIOY9QZ5,Submitted,2022-05-14 01:31:57+03:00,solve_create_432,"['corpse.jpg', 'compost.jpg', 'intestines.jpg', 'body.jpg', 'sill.jpg']","{'compost.jpg', 'corpse.jpg', 'sill.jpg'}","{'compost.jpg', 'intestines.jpg', 'body.jpg'}",0.2
3,3C2NJ6JBKB3SUT69IYGZ7FJMRHR2NO,A2LCWWEBLDW3H6,3UEDKCTP9VCWM4KI1V0DNUNAFZ4K7F,Submitted,2022-05-14 01:31:19+03:00,solve_create_267,"['two.jpg', 'yelling.jpg', 'bus.jpg', 'train.jpg', 'car.jpg']","{'car.jpg', 'bus.jpg'}","{'car.jpg', 'bus.jpg'}",1.0
4,3VHHR074H439SU0UCXHFQEW5X2D7L7,A2LCWWEBLDW3H6,3BKZLF990ZL1CREE19AAWTJGI45QYE,Submitted,2022-05-14 01:29:26+03:00,solve_create_412,"['coconut.jpg', 'jump.jpg', 'writer.jpg', 'trampoline.jpg', 'ball.jpg']","{'jump.jpg', 'ball.jpg'}","{'jump.jpg', 'ball.jpg'}",1.0
5,3J2UYBXQQMYDRYX34UQ4MG4LZTI06S,A2LCWWEBLDW3H6,3ZTE0JGGCEELOC0TQ40HAXWX0F5COK,Submitted,2022-05-14 01:30:34+03:00,solve_create_300,"['lab.jpg', 'dalmatian.jpg', 'snow.jpg', 'slipping.jpg', 'ice.jpg']","{'slipping.jpg', 'ice.jpg'}","{'slipping.jpg', 'ice.jpg'}",1.0
6,34QN5IT0T0D0VCGRX9N26U0C5O808E,A2LCWWEBLDW3H6,3UV0D2KX1M5ONVALYMB945BVG1XF4O,Submitted,2022-05-14 01:33:53+03:00,solve_create_505,"['watch.jpg', 'pool.jpg', 'crop.jpg', 'clock.jpg', 'cook.jpg', 'computer.jpg']","{'clock.jpg', 'watch.jpg'}","{'clock.jpg', 'watch.jpg'}",1.0
7,324G5B4FB4UWVYB8N4VWSU4HU4207R,A2LCWWEBLDW3H6,3WJGKMRWVIVUKF940VM1Z3KYW1YCDN,Submitted,2022-05-14 01:32:52+03:00,solve_create_93,"['chest.jpg', 'art.jpg', 'lobe.jpg', 'spice.jpg', 'arachnid.jpg', 'statue.jpg']","{'spice.jpg', 'arachnid.jpg'}","{'arachnid.jpg', 'art.jpg'}",0.3333333333333333
8,3RJSC4XJ11GH8UXPZBGZUAQL3Y705C,A2LCWWEBLDW3H6,39N6W9XWRD9AZ2K0YD5Y2FFECHWGY9,Submitted,2022-05-14 01:29:52+03:00,solve_create_349,"['water.jpg', 'earth.jpg', 'drink.jpg', 'recorder.jpg', 'food.jpg']","{'drink.jpg', 'food.jpg'}","{'drink.jpg', 'food.jpg'}",1.0
9,3HMVI3QICKEFH7SR6WPWJC7O3VGY1S,A2LCWWEBLDW3H6,302OLP89DZTWM86SGLVZ92CSBY1CAL,Submitted,2022-05-14 01:30:01+03:00,solve_create_248,"['ship.jpg', 'puffy.jpg', 'crocodile.jpg', 'eyes.jpg', 'ocean.jpg', 'boat.jpg']","{'ship.jpg', 'boat.jpg'}","{'ship.jpg', 'boat.jpg'}",1.0
10,3E4GGUZ1T9DRMNL6LLOJFN2IXMM2KJ,A2LCWWEBLDW3H6,360ZO6N6J15VQB8E14BDG36KZUN9ML,Submitted,2022-05-14 01:28:02+03:00,solve_create_246,"['ship.jpg', 'puffy.jpg', 'crocodile.jpg', 'eyes.jpg', 'ocean.jpg', 'boat.jpg']","{'boat.jpg', 'puffy.jpg'}","{'boat.jpg', 'puffy.jpg'}",1.0
11,3CN4LGXD5YAW96PATE8YHAERFFQY45,A2LCWWEBLDW3H6,3IVEC1GSLPLN0YZYUUJSL5WKXO4J1I,Submitted,2022-05-14 01:31:03+03:00,solve_create_482,"['breast.jpg', 'clicker.jpg', 'coal.jpg', 'peak.jpg', 'bump.jpg']","{'coal.jpg', 'peak.jpg'}","{'coal.jpg', 'peak.jpg'}",1.0
12,3907X2AHF1RSXEIMYDTRB4OHRWS2PK,A2LCWWEBLDW3H6,3R4QIDVOJPYE9J7ISH3GV92MHPCEEB,Submitted,2022-05-14 01:32:03+03:00,solve_create_342,"['explode.jpg', 'pictures.jpg', 'closet.jpg', 'bomb.jpg', 'explosion.jpg', 'mice.jpg']","{'explode.jpg', 'bomb.jpg', 'explosion.jpg'}","{'explode.jpg', 'bomb.jpg', 'explosion.jpg'}",1.0
13,354GIDR5ZCSIDNBO25ANDFUUMQW00R,A2LCWWEBLDW3H6,33KMQD9OFJ08RPDYI1B4JPIO9F477W,Submitted,2022-05-14 01:27:27+03:00,solve_create_592,"['bison.jpg', 'shelter.jpg', 'beard.jpg', 'flea.jpg', 'cattle.jpg', 'shave.jpg']","{'bison.jpg', 'shave.jpg', 'beard.jpg'}","{'bison.jpg', 'shave.jpg', 'beard.jpg'}",1.0
14,3ZPPDN2SLWIZ07EVA8SVRFXRJV09EY,A2LCWWEBLDW3H6,3F6045TU7DAGJRPKCV78BH00ZVG99M,Submitted,2022-05-14 01:33:09+03:00,solve_create_475,"['crew.jpg', 'spear.jpg', 'satellite.jpg', 'mercury.jpg', 'librarian.jpg', 'fish.jpg']","{'librarian.jpg', 'crew.jpg', 'satellite.jpg'}","{'librarian.jpg', 'crew.jpg', 'satellite.jpg'}",1.0
15,3PMBY0YE28PK39UHEHM01RXOYJN9C5,A2LCWWEBLDW3H6,3TZ0XG8CBU6G5M6A731UBL5PFPY98X,Submitted,2022-05-14 01:27:08+03:00,solve_create_563,"['twins.jpg', 'ice.jpg', 'rhino.jpg', 'car.jpg', 'seaweed.jpg', 'loo.jpg']","{'seaweed.jpg', 'loo.jpg', 'ice.jpg'}","{'seaweed.jpg', 'loo.jpg', 'ice.jpg'}",1.0
16,3HL8HNGX46NR6LER5JC19XIRVWF9FG,A2LCWWEBLDW3H6,3A520CCNWNMBJ6Q6CC1UZQCVWAEEAG,Submitted,2022-05-14 01:33:39+03:00,solve_create_312,"['wheelchair.jpg', 'flower.jpg', 'soccer.jpg', 'light.jpg', 'plant.jpg']","{'wheelchair.jpg', 'light.jpg'}","{'wheelchair.jpg', 'light.jpg'}",1.0
17,3NVC2EB65RLBRA66T03F75ML1FUY3K,A2LCWWEBLDW3H6,38B7Q9C28GRT18NMEO4WR79Y9U896B,Submitted,2022-05-14 01:30:51+03:00,solve_create_138,"['company.jpg', 'limo.jpg', 'shirt.jpg', 'wood.jpg', 'coat.jpg']","{'company.jpg', 'coat.jpg', 'wood.jpg'}","{'company.jpg', 'coat.jpg', 'shirt.jpg'}",0.5
18,3QAPZX2QN5ZP9XE2HSE1W3N9JOG02B,A2LCWWEBLDW3H6,335VBRURDJMXENG1K6NU3V1BQSWE91,Submitted,2022-05-14 01:28:14+03:00,solve_create_81,"['green.jpg', 'spit.jpg', 'ketchup.jpg', 'garlic.jpg', 'earth.jpg']","{'ketchup.jpg', 'spit.jpg'}","{'ketchup.jpg', 'spit.jpg'}",1.0
19,3JC6VJ2SAC5D97V7RDDSJG2YCKJ5A8,A2LCWWEBLDW3H6,3S4TINXCC092E78NC44MZDQFIU5BOC,Submitted,2022-05-14 01:33:47+03:00,solve_create_109,"['board.jpg', 'music.jpg', 'tea party.jpg', 'rinse.jpg', 'siren.jpg', 'game.jpg']","{'rinse.jpg', 'tea party.jpg'}","{'rinse.jpg', 'tea party.jpg'}",1.0
20,3VZLGYJEYMWNCYNP9BCMSSKRE4ZXZA,A2LCWWEBLDW3H6,3WA2XVDZEM3AW4E3MZKIJLA90ROE6Q,Submitted,2022-05-14 01:26:57+03:00,solve_create_492,"['penguin.jpg', 'ice.jpg', 'drink.jpg', 'snow.jpg', 'jack.jpg']","{'drink.jpg', 'ice.jpg'}","{'drink.jpg', 'ice.jpg'}",1.0
21,30ZX6P7VF9HWB3FO30O7E825IXM2JK,A2LCWWEBLDW3H6,3MZ3TAMYTL9FYSE9A6D7FVZXO79IR1,Submitted,2022-05-14 01:27:40+03:00,solve_create_197,"['sun.jpg', 'pickle.jpg', 'homework.jpg', 'face.jpg', 'spot.jpg']","{'sun.jpg', 'spot.jpg'}","{'sun.jpg', 'spot.jpg'}",1.0
22,3CCZ6YKWR85Z4OL2Z7ZSNLRE62159T,A2LCWWEBLDW3H6,30EV7DWJTVH829VUM0WCQO2PI3T6YX,Submitted,2022-05-14 01:33:26+03:00,solve_create_254,"['ceramic.jpg', 'baby.jpg', 'trap.jpg', 'fetus.jpg', 'raisin.jpg', 'zombie.jpg']","{'zombie.jpg', 'fetus.jpg', 'baby.jpg'}","{'zombie.jpg', 'fetus.jpg', 'baby.jpg'}",1.0
23,30LSNF239VH0GSVILI3727N55IX2I8,A2LCWWEBLDW3H6,3N7PQ0KLI5BBZLRL3XMKCIYPQ0ME3K,Submitted,2022-05-14 01:27:16+03:00,solve_create_240,"['food.jpg', 'spaceship.jpg', 'gravy.jpg', 'letter.jpg', 'stomach.jpg']","{'spaceship.jpg', 'stomach.jpg'}","{'spaceship.jpg', 'stomach.jpg'}",1.0
24,3L6L49WXW1JY7IFQIC316DGYKAN54X,A2LCWWEBLDW3H6,3VDI8GSXAFFVKWTIL97432RCJ2TG8V,Submitted,2022-05-14 01:29:02+03:00,solve_create_381,"['telephone.jpg', 'shelter.jpg', 'badge.jpg', 'bird.jpg', 'baby.jpg']","{'badge.jpg', 'bird.jpg', 'shelter.jpg'}","{'badge.jpg', 'bird.jpg', 'shelter.jpg'}",1.0
25,32XVDSJFP0JMCBL96X1ZU0UMMRH2MO,A2LCWWEBLDW3H6,3HY86PZXPY4FPID6GT81OPJSSG8E1S,Submitted,2022-05-14 01:29:39+03:00,solve_create_186,"['country.jpg', 'wagon.jpg', 'printing.jpg', 'weed.jpg', 'flag.jpg', 'snail.jpg']","{'printing.jpg', 'wagon.jpg', 'flag.jpg'}","{'printing.jpg', 'wagon.jpg', 'flag.jpg'}",1.0
26,3DY46V3X3Q4G31JQWHMBB5MCK6I552,A2LCWWEBLDW3H6,3QMELQS6Y5XZ58J8854IIS9SFGE6RV,Submitted,2022-05-14 01:29:11+03:00,solve_create_372,"['submarine.jpg', 'queen.jpg', 'dragon.jpg', 'crown.jpg', 'soprano.jpg', 'corpse.jpg']","{'queen.jpg', 'submarine.jpg'}","{'queen.jpg', 'submarine.jpg'}",1.0
27,3E7TUJ2EGD8U810VEDHBLXF6JJZ9D5,A2LCWWEBLDW3H6,3WKGUBL7SZ8ANNKHKXE7ZIGFDXJ4LI,Submitted,2022-05-14 01:28:27+03:00,solve_create_395,"['octopus.jpg', 'king.jpg', 'ruler.jpg', 'lock.jpg', 'court.jpg', 'lettuce.jpg']","{'court.jpg', 'king.jpg'}","{'lock.jpg', 'court.jpg'}",0.3333333333333333
